transformer_id,transformer_type,risk_score,risk_level,root_cause,maintenance_action
40,Distribution Transformer,0.9781691,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
47,Distribution Transformer,0.9778325,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
29,Distribution Transformer,0.9775417,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
18,Distribution Transformer,0.9769867,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
42,Distribution Transformer,0.9764399,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
15,Distribution Transformer,0.97642195,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
39,Distribution Transformer,0.97607374,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
1,Distribution Transformer,0.9746527,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
34,Distribution Transformer,0.9732636,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
18,Distribution Transformer,0.97292125,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
26,Distribution Transformer,0.9725329,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
20,Distribution Transformer,0.97153914,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
35,Distribution Transformer,0.971458,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
11,Distribution Transformer,0.9706032,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
49,Distribution Transformer,0.968429,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
35,Distribution Transformer,0.9677426,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
19,Distribution Transformer,0.96629936,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
45,Distribution Transformer,0.9661165,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
38,Distribution Transformer,0.9653889,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
27,Distribution Transformer,0.96535414,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
36,Distribution Transformer,0.96424294,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
32,Distribution Transformer,0.9637964,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
5,Distribution Transformer,0.9628231,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
3,Distribution Transformer,0.96275836,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
32,Distribution Transformer,0.96207047,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
27,Distribution Transformer,0.9619787,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
18,Distribution Transformer,0.96121126,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
41,Distribution Transformer,0.9608618,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
26,Distribution Transformer,0.9598525,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
17,Distribution Transformer,0.9592429,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
5,Distribution Transformer,0.9592043,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
1,Distribution Transformer,0.959,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
28,Distribution Transformer,0.9589398,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
17,Distribution Transformer,0.95889795,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
20,Distribution Transformer,0.9584956,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
48,Distribution Transformer,0.95784533,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
25,Distribution Transformer,0.956746,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
4,Distribution Transformer,0.9558714,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
41,Distribution Transformer,0.954685,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
16,Distribution Transformer,0.95464957,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
47,Distribution Transformer,0.9537616,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
21,Distribution Transformer,0.95185804,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
47,Distribution Transformer,0.9518006,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
35,Distribution Transformer,0.9508356,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
25,Distribution Transformer,0.9508208,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
38,Distribution Transformer,0.9491507,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
5,Distribution Transformer,0.9483491,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
46,Distribution Transformer,0.9477423,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
17,Distribution Transformer,0.9470471,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
8,Distribution Transformer,0.94674397,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
28,Distribution Transformer,0.9464779,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
4,Distribution Transformer,0.9459245,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
30,Distribution Transformer,0.94471645,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
24,Distribution Transformer,0.9443088,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
26,Distribution Transformer,0.94429195,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
12,Distribution Transformer,0.94367605,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
15,Distribution Transformer,0.940244,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
43,Distribution Transformer,0.94010526,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
19,Distribution Transformer,0.9388512,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
3,Distribution Transformer,0.93882394,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
1,Distribution Transformer,0.93660784,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
26,Distribution Transformer,0.9363086,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
18,Distribution Transformer,0.9336053,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
4,Distribution Transformer,0.9327121,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
48,Distribution Transformer,0.9326298,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
19,Distribution Transformer,0.9314113,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
29,Distribution Transformer,0.93115544,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
14,Distribution Transformer,0.93063766,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
7,Distribution Transformer,0.92543447,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
6,Distribution Transformer,0.9253837,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
20,Distribution Transformer,0.92398983,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
49,Distribution Transformer,0.92301434,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
42,Distribution Transformer,0.92193294,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
26,Distribution Transformer,0.91936684,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
40,Distribution Transformer,0.91915154,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
22,Distribution Transformer,0.919041,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
47,Distribution Transformer,0.91897595,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
3,Distribution Transformer,0.91810834,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
28,Distribution Transformer,0.916953,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
44,Distribution Transformer,0.9155101,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
21,Distribution Transformer,0.91455764,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
47,Distribution Transformer,0.9139855,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
15,Distribution Transformer,0.9138594,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
48,Distribution Transformer,0.9130252,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
44,Distribution Transformer,0.9108663,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
22,Distribution Transformer,0.9099723,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
7,Distribution Transformer,0.90964186,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
7,Distribution Transformer,0.90917397,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
18,Distribution Transformer,0.905763,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
48,Distribution Transformer,0.9045405,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
13,Distribution Transformer,0.9031892,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
26,Distribution Transformer,0.8995856,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
26,Distribution Transformer,0.89645374,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
43,Distribution Transformer,0.8948544,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
26,Distribution Transformer,0.89405376,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
46,Distribution Transformer,0.893363,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
33,Distribution Transformer,0.88955534,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
34,Distribution Transformer,0.88861316,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
26,Distribution Transformer,0.88474023,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
20,Distribution Transformer,0.88155633,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
46,Distribution Transformer,0.8812869,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
1,Distribution Transformer,0.8750312,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
8,Distribution Transformer,0.8718399,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
14,Distribution Transformer,0.868465,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
39,Distribution Transformer,0.86736536,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
14,Distribution Transformer,0.8549013,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
12,Distribution Transformer,0.8490793,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
8,Distribution Transformer,0.8419391,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
38,Distribution Transformer,0.8385699,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
31,Distribution Transformer,0.83697754,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
14,Distribution Transformer,0.83640164,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
17,Distribution Transformer,0.8347047,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
39,Distribution Transformer,0.8334305,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
49,Distribution Transformer,0.8330269,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
48,Distribution Transformer,0.82636136,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
27,Distribution Transformer,0.8218774,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
15,Distribution Transformer,0.81967986,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
27,Distribution Transformer,0.7964988,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
2,Distribution Transformer,0.7825518,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
7,Distribution Transformer,0.7819518,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
2,Distribution Transformer,0.78159934,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
36,Distribution Transformer,0.7778727,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
12,Distribution Transformer,0.7761045,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
9,Distribution Transformer,0.766272,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
2,Distribution Transformer,0.76014405,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
3,Distribution Transformer,0.75360906,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
11,Distribution Transformer,0.7379175,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
39,Distribution Transformer,0.735878,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
47,Distribution Transformer,0.73224145,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
41,Distribution Transformer,0.7275262,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
1,Distribution Transformer,0.7198735,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
45,Distribution Transformer,0.71391624,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
18,Distribution Transformer,0.7030472,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
1,Distribution Transformer,0.6999034,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
1,Distribution Transformer,0.6974053,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
2,Distribution Transformer,0.6887712,Medium,Sudden Load Variation caused by irregular demand pattern,Monitor closely — possible cause: Sudden Load Variation caused by irregular demand pattern
28,Distribution Transformer,0.6815652,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
17,Distribution Transformer,0.65983856,Medium,Voltage Instability caused by abnormal voltage fluctuation,Monitor closely — possible cause: Voltage Instability caused by abnormal voltage fluctuation
31,Distribution Transformer,0.65446,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
8,Distribution Transformer,0.63511145,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
35,Distribution Transformer,0.6306227,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
11,Distribution Transformer,0.62621,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
21,Distribution Transformer,0.6254854,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
13,Distribution Transformer,0.616119,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
42,Distribution Transformer,0.6156461,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
23,Distribution Transformer,0.611394,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
46,Distribution Transformer,0.60860145,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
16,Distribution Transformer,0.6059442,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
9,Distribution Transformer,0.6010153,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
9,Distribution Transformer,0.5978049,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
36,Distribution Transformer,0.59592354,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
8,Distribution Transformer,0.5927936,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
6,Distribution Transformer,0.5921862,Medium,Sudden Load Variation caused by irregular demand pattern,Monitor closely — possible cause: Sudden Load Variation caused by irregular demand pattern
6,Distribution Transformer,0.5851176,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
28,Distribution Transformer,0.56471086,Medium,Sudden Load Variation caused by irregular demand pattern,Monitor closely — possible cause: Sudden Load Variation caused by irregular demand pattern
6,Distribution Transformer,0.53261787,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
26,Distribution Transformer,0.527541,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
7,Distribution Transformer,0.5230432,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
47,Distribution Transformer,0.5126487,Medium,Sudden Load Variation caused by irregular demand pattern,Monitor closely — possible cause: Sudden Load Variation caused by irregular demand pattern
12,Distribution Transformer,0.5084377,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
5,Distribution Transformer,0.5049187,Medium,Thermal Overload caused by excessive load and temperature stress,Monitor closely — possible cause: Thermal Overload caused by excessive load and temperature stress
31,Distribution Transformer,0.49744546,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
11,Distribution Transformer,0.4740597,Medium,Sudden Load Variation caused by irregular demand pattern,Monitor closely — possible cause: Sudden Load Variation caused by irregular demand pattern
33,Distribution Transformer,0.47283664,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
7,Distribution Transformer,0.46993908,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
37,Distribution Transformer,0.4594407,Medium,Voltage Instability caused by abnormal voltage fluctuation,Monitor closely — possible cause: Voltage Instability caused by abnormal voltage fluctuation
21,Distribution Transformer,0.44168577,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
22,Distribution Transformer,0.44091856,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
17,Distribution Transformer,0.43844053,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
35,Distribution Transformer,0.4315557,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
10,Distribution Transformer,0.42501622,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
28,Distribution Transformer,0.4217626,Medium,General Degradation Risk based on combined operating conditions,Monitor closely — possible cause: General Degradation Risk based on combined operating conditions
13,Distribution Transformer,0.40622413,Medium,Electrical Stress caused by high current flow,Monitor closely — possible cause: Electrical Stress caused by high current flow
18,Distribution Transformer,0.39769933,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
9,Distribution Transformer,0.3939477,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
21,Distribution Transformer,0.38692802,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
35,Distribution Transformer,0.37164912,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
5,Distribution Transformer,0.36926207,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
41,Distribution Transformer,0.3687515,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.35932982,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
47,Distribution Transformer,0.3588772,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
