transformer_id,risk_score,risk_level
27,0.34932226,Low
35,0.3488418,Low
43,0.34857333,Low
25,0.34529883,Low
45,0.34434167,Low
37,0.34069106,Low
7,0.34059024,Low
36,0.33717796,Low
5,0.337166,Low
14,0.33236453,Low
12,0.33181173,Low
18,0.33144403,Low
11,0.3306688,Low
19,0.32559505,Low
48,0.32558224,Low
40,0.32372227,Low
13,0.32224822,Low
29,0.32215342,Low
41,0.32161885,Low
28,0.31833345,Low
17,0.3168252,Low
9,0.3166921,Low
4,0.31621566,Low
43,0.31617138,Low
3,0.31419742,Low
12,0.31154287,Low
8,0.3107095,Low
16,0.3105785,Low
5,0.308886,Low
33,0.3085789,Low
34,0.30820382,Low
39,0.3002383,Low
28,0.29938927,Low
37,0.29929677,Low
11,0.29555622,Low
6,0.29510745,Low
27,0.2949953,Low
7,0.292722,Low
34,0.29248744,Low
22,0.29145223,Low
17,0.28900397,Low
6,0.2882327,Low
44,0.2875381,Low
13,0.28305632,Low
30,0.2817578,Low
26,0.28122574,Low
42,0.27917317,Low
7,0.278091,Low
13,0.27762032,Low
36,0.27471614,Low
36,0.27280968,Low
14,0.27230647,Low
26,0.27151874,Low
11,0.27078837,Low
41,0.2701524,Low
9,0.27002248,Low
36,0.26965117,Low
8,0.26814237,Low
26,0.26717532,Low
26,0.26694334,Low
14,0.26586345,Low
24,0.26572412,Low
49,0.26410764,Low
49,0.26286063,Low
43,0.26112205,Low
43,0.26066083,Low
47,0.25911534,Low
18,0.25890523,Low
10,0.25888073,Low
39,0.25857964,Low
19,0.25650972,Low
47,0.25620538,Low
10,0.2517084,Low
36,0.2516147,Low
22,0.25147542,Low
35,0.25115874,Low
7,0.2510527,Low
9,0.25072035,Low
12,0.24968533,Low
35,0.24807957,Low
16,0.24774098,Low
25,0.24762596,Low
14,0.24734624,Low
23,0.24715099,Low
33,0.2468863,Low
22,0.2466876,Low
28,0.24603152,Low
11,0.24562168,Low
24,0.24547918,Low
43,0.24498437,Low
38,0.24386816,Low
41,0.2437478,Low
34,0.24370135,Low
33,0.24349599,Low
10,0.24292287,Low
13,0.24270098,Low
5,0.2419554,Low
22,0.24001272,Low
28,0.23981966,Low
39,0.23968767,Low
2,0.23948637,Low
1,0.23934692,Low
33,0.23911288,Low
47,0.23896146,Low
15,0.23753454,Low
6,0.23586181,Low
3,0.23572432,Low
6,0.23419596,Low
40,0.22953515,Low
11,0.22723189,Low
41,0.22719999,Low
36,0.22719148,Low
46,0.2264827,Low
13,0.22647983,Low
47,0.22554141,Low
30,0.22546637,Low
19,0.22385682,Low
14,0.2228984,Low
45,0.22282872,Low
25,0.22240458,Low
47,0.22216319,Low
39,0.22208634,Low
39,0.22185628,Low
30,0.22060926,Low
39,0.22038586,Low
15,0.21968876,Low
9,0.2185812,Low
13,0.21749364,Low
39,0.21710561,Low
28,0.2161507,Low
2,0.21614099,Low
25,0.21578817,Low
6,0.21531536,Low
25,0.21522623,Low
49,0.2151032,Low
2,0.21500184,Low
35,0.21410832,Low
32,0.21263167,Low
22,0.2122178,Low
37,0.21122387,Low
26,0.21013483,Low
22,0.20993532,Low
8,0.20939277,Low
16,0.20874992,Low
11,0.20872161,Low
16,0.20787184,Low
33,0.2075722,Low
1,0.20542023,Low
45,0.20221512,Low
35,0.20138627,Low
49,0.20071378,Low
39,0.19948824,Low
47,0.199315,Low
25,0.19758113,Low
33,0.19485152,Low
23,0.19356449,Low
21,0.1929668,Low
41,0.1925198,Low
20,0.1916836,Low
10,0.19167313,Low
46,0.19150294,Low
24,0.19148618,Low
30,0.19135223,Low
43,0.1907715,Low
14,0.19072163,Low
17,0.1906162,Low
1,0.18988818,Low
19,0.18902682,Low
47,0.18818977,Low
12,0.18784471,Low
2,0.18688942,Low
10,0.1867395,Low
15,0.18614087,Low
48,0.18578294,Low
3,0.18495728,Low
21,0.18376747,Low
33,0.18289359,Low
3,0.1824566,Low
24,0.18206868,Low
18,0.18173572,Low
3,0.18161568,Low
39,0.18137024,Low
46,0.1802548,Low
34,0.1796254,Low
15,0.17792225,Low
48,0.17701775,Low
31,0.17687544,Low
37,0.1765193,Low
30,0.1764423,Low
7,0.1763255,Low
43,0.17553848,Low
38,0.17529894,Low
26,0.17431198,Low
47,0.1742673,Low
41,0.17404792,Low
3,0.17323671,Low
17,0.17192319,Low
25,0.17189631,Low
34,0.17059377,Low
23,0.1705558,Low
29,0.17029588,Low
39,0.16974579,Low
47,0.16809645,Low
46,0.1679512,Low
12,0.16742356,Low
48,0.16692989,Low
9,0.16643888,Low
21,0.16623051,Low
41,0.16612059,Low
49,0.1657313,Low
37,0.16552582,Low
48,0.16505094,Low
44,0.16427368,Low
13,0.16407578,Low
40,0.16405866,Low
7,0.16361004,Low
25,0.16219266,Low
4,0.16191794,Low
43,0.16138862,Low
47,0.16046932,Low
13,0.16025278,Low
26,0.16014582,Low
3,0.15998782,Low
37,0.15997887,Low
7,0.15982552,Low
2,0.15980929,Low
32,0.15958902,Low
45,0.15877819,Low
45,0.15867624,Low
12,0.1583846,Low
38,0.1583688,Low
49,0.15828569,Low
26,0.15791912,Low
46,0.15719509,Low
25,0.15654615,Low
36,0.15604545,Low
4,0.15570481,Low
33,0.15532255,Low
18,0.15497066,Low
38,0.15484728,Low
17,0.15419714,Low
42,0.15309256,Low
27,0.15225118,Low
24,0.15151227,Low
41,0.15126608,Low
20,0.15084456,Low
18,0.15006869,Low
30,0.14979212,Low
49,0.14884296,Low
40,0.14849739,Low
33,0.1481078,Low
39,0.14801985,Low
21,0.14589615,Low
49,0.14582393,Low
28,0.14480853,Low
33,0.14443003,Low
42,0.14441067,Low
1,0.1441981,Low
37,0.14360839,Low
4,0.1432709,Low
28,0.14288571,Low
9,0.14266664,Low
10,0.14257894,Low
11,0.14201936,Low
34,0.14095092,Low
3,0.14042443,Low
39,0.14036629,Low
36,0.14029047,Low
39,0.14023538,Low
24,0.13994053,Low
44,0.13990937,Low
22,0.13924684,Low
18,0.13903011,Low
8,0.13828589,Low
7,0.13826868,Low
34,0.13802795,Low
30,0.13755156,Low
21,0.13708593,Low
43,0.13703665,Low
5,0.1369587,Low
45,0.13688032,Low
40,0.13681124,Low
49,0.13596627,Low
6,0.13590167,Low
38,0.13578804,Low
30,0.13534172,Low
13,0.1345688,Low
7,0.13421796,Low
47,0.13409515,Low
40,0.13391337,Low
21,0.13272871,Low
3,0.13266487,Low
9,0.13155611,Low
24,0.13153674,Low
20,0.13139135,Low
15,0.13133152,Low
23,0.13016908,Low
45,0.1300595,Low
46,0.12904775,Low
38,0.12870295,Low
49,0.12830082,Low
33,0.12749171,Low
8,0.12681794,Low
6,0.1265349,Low
8,0.12607047,Low
34,0.12596557,Low
10,0.12548904,Low
40,0.1253276,Low
32,0.1250999,Low
49,0.12506534,Low
46,0.12491542,Low
38,0.12424811,Low
49,0.12379181,Low
41,0.1229469,Low
16,0.12235671,Low
33,0.122342825,Low
5,0.12221144,Low
46,0.12205611,Low
45,0.12124782,Low
42,0.12124455,Low
30,0.12087415,Low
22,0.120524526,Low
24,0.12046122,Low
32,0.12033256,Low
28,0.11933271,Low
33,0.11918968,Low
7,0.119038,Low
29,0.11880189,Low
35,0.11855971,Low
49,0.1183023,Low
5,0.11810549,Low
22,0.11789759,Low
14,0.1167721,Low
35,0.1167393,Low
45,0.11673855,Low
35,0.11652467,Low
49,0.116202235,Low
18,0.11558997,Low
37,0.11483732,Low
49,0.11482086,Low
36,0.114556804,Low
23,0.11449385,Low
14,0.11401811,Low
20,0.113681935,Low
19,0.11346327,Low
16,0.11343963,Low
49,0.11311702,Low
37,0.113093354,Low
19,0.11302004,Low
44,0.11232096,Low
39,0.112117775,Low
9,0.11184077,Low
38,0.11124036,Low
37,0.11119634,Low
17,0.110695355,Low
35,0.11065912,Low
49,0.11014252,Low
20,0.11002272,Low
12,0.10992659,Low
30,0.10844307,Low
1,0.106737,Low
28,0.106703304,Low
5,0.10634308,Low
39,0.10625843,Low
18,0.10612633,Low
19,0.105856046,Low
6,0.10509182,Low
13,0.10464921,Low
36,0.10382183,Low
1,0.10360645,Low
23,0.1029096,Low
8,0.10260836,Low
30,0.102378175,Low
35,0.102375604,Low
14,0.102114625,Low
38,0.10207079,Low
2,0.101639695,Low
7,0.10132143,Low
46,0.101161726,Low
36,0.10095509,Low
10,0.10081837,Low
12,0.100785844,Low
30,0.10075448,Low
25,0.10070623,Low
14,0.10011719,Low
33,0.09995046,Low
2,0.099787466,Low
24,0.09955648,Low
47,0.09884667,Low
29,0.098624036,Low
15,0.09799538,Low
23,0.09773968,Low
45,0.097701564,Low
28,0.09768648,Low
3,0.09691637,Low
33,0.09601614,Low
7,0.095952354,Low
22,0.09570681,Low
25,0.095572665,Low
20,0.095483124,Low
17,0.094703354,Low
26,0.09398758,Low
2,0.09316904,Low
22,0.09313772,Low
26,0.09305785,Low
12,0.09234793,Low
34,0.09211256,Low
31,0.09129126,Low
10,0.09118194,Low
11,0.09102817,Low
27,0.09032747,Low
48,0.09003334,Low
33,0.08998431,Low
42,0.089974895,Low
11,0.0898006,Low
31,0.08976744,Low
9,0.08971524,Low
40,0.08971484,Low
15,0.08951156,Low
6,0.089483656,Low
30,0.08864694,Low
11,0.088178694,Low
42,0.08814477,Low
42,0.087980226,Low
49,0.087828696,Low
46,0.087118804,Low
23,0.08705746,Low
36,0.08685802,Low
36,0.08654451,Low
24,0.086533,Low
15,0.08633982,Low
24,0.086184554,Low
22,0.086129986,Low
39,0.0858659,Low
22,0.08568331,Low
25,0.0856365,Low
5,0.08550244,Low
35,0.08541095,Low
22,0.08531994,Low
32,0.08529207,Low
18,0.08525837,Low
8,0.08518999,Low
21,0.085005,Low
32,0.08467158,Low
19,0.0845993,Low
17,0.084567815,Low
24,0.08438242,Low
26,0.08432984,Low
12,0.08362598,Low
28,0.083570614,Low
1,0.083490625,Low
46,0.0834885,Low
27,0.08328504,Low
12,0.08291003,Low
29,0.0822474,Low
27,0.08214258,Low
24,0.082139984,Low
31,0.082080096,Low
4,0.08203887,Low
44,0.08197778,Low
20,0.08183539,Low
32,0.081635796,Low
35,0.081633955,Low
20,0.0815332,Low
41,0.08149555,Low
35,0.08123541,Low
21,0.080932066,Low
22,0.08090481,Low
28,0.08063486,Low
29,0.08061208,Low
40,0.08045991,Low
32,0.079892956,Low
32,0.07978879,Low
29,0.079571605,Low
23,0.07955863,Low
24,0.07944913,Low
22,0.07919502,Low
7,0.0788034,Low
17,0.07844408,Low
16,0.07829552,Low
33,0.0782034,Low
17,0.07804268,Low
14,0.077542044,Low
35,0.0773149,Low
49,0.07703078,Low
31,0.077024475,Low
45,0.07649369,Low
44,0.07647003,Low
2,0.076462805,Low
38,0.0759863,Low
1,0.075777374,Low
4,0.07555787,Low
37,0.075541124,Low
47,0.07535492,Low
24,0.075297296,Low
29,0.07513838,Low
8,0.07504528,Low
31,0.07445838,Low
29,0.074174404,Low
23,0.074101515,Low
7,0.074042104,Low
15,0.074012056,Low
19,0.073871,Low
41,0.07373713,Low
48,0.073680244,Low
31,0.07366253,Low
3,0.07334949,Low
11,0.07327347,Low
10,0.07308926,Low
14,0.07260983,Low
36,0.07240197,Low
12,0.07223664,Low
30,0.07207488,Low
49,0.071950704,Low
32,0.071734376,Low
26,0.07135318,Low
5,0.07115207,Low
20,0.0709141,Low
12,0.07082601,Low
2,0.07020944,Low
36,0.06986404,Low
25,0.06980506,Low
25,0.06965333,Low
33,0.06905474,Low
33,0.06905233,Low
8,0.06885919,Low
8,0.06868032,Low
10,0.06845825,Low
37,0.06843863,Low
31,0.06826107,Low
46,0.06808906,Low
47,0.06783068,Low
45,0.0677458,Low
14,0.06773742,Low
7,0.06762187,Low
37,0.06756931,Low
44,0.0675346,Low
29,0.06746065,Low
40,0.067270264,Low
23,0.06719833,Low
16,0.066843204,Low
12,0.06677159,Low
8,0.06668582,Low
49,0.06659785,Low
35,0.06654269,Low
1,0.0664911,Low
25,0.06625572,Low
28,0.06607369,Low
11,0.06591138,Low
26,0.06582363,Low
31,0.06547259,Low
14,0.06529221,Low
36,0.065165125,Low
22,0.064921126,Low
7,0.06470445,Low
34,0.06461261,Low
35,0.064399794,Low
25,0.063479215,Low
43,0.063413285,Low
47,0.06335163,Low
49,0.06327005,Low
36,0.06325503,Low
44,0.063236274,Low
3,0.062247925,Low
22,0.062137306,Low
33,0.061455667,Low
14,0.06121576,Low
13,0.06114832,Low
19,0.061133258,Low
32,0.061084513,Low
20,0.060707744,Low
41,0.06065284,Low
45,0.06042497,Low
47,0.060296256,Low
14,0.060290374,Low
29,0.0601313,Low
48,0.05966851,Low
49,0.05961849,Low
36,0.059331685,Low
2,0.059135567,Low
15,0.059131045,Low
41,0.059054382,Low
32,0.059023015,Low
6,0.05865772,Low
38,0.058523037,Low
20,0.0585,Low
33,0.058367837,Low
12,0.058295637,Low
39,0.057791147,Low
19,0.057579264,Low
24,0.057396565,Low
29,0.05704242,Low
28,0.056896333,Low
12,0.056882754,Low
10,0.056830984,Low
32,0.056623816,Low
38,0.056590915,Low
18,0.056569673,Low
47,0.056427598,Low
24,0.056422964,Low
18,0.056400385,Low
4,0.05638936,Low
17,0.056374416,Low
35,0.0562501,Low
19,0.05620667,Low
17,0.05507247,Low
8,0.055043835,Low
3,0.05451929,Low
12,0.05442839,Low
15,0.054319717,Low
1,0.054117866,Low
17,0.053825535,Low
32,0.053734533,Low
33,0.05359865,Low
17,0.053586062,Low
21,0.05355479,Low
47,0.05321059,Low
42,0.053206135,Low
9,0.052950606,Low
42,0.05294769,Low
38,0.052631456,Low
1,0.05257067,Low
3,0.052474096,Low
33,0.052036874,Low
32,0.051981226,Low
44,0.051900767,Low
6,0.051735774,Low
24,0.05140014,Low
29,0.051286846,Low
5,0.051239524,Low
37,0.051208206,Low
17,0.05118035,Low
13,0.051094238,Low
3,0.051091764,Low
26,0.051080145,Low
1,0.05097021,Low
43,0.050853554,Low
47,0.05029614,Low
17,0.050104994,Low
28,0.05004983,Low
30,0.04999034,Low
10,0.049952686,Low
17,0.0498545,Low
30,0.049608625,Low
7,0.049342714,Low
29,0.049329385,Low
34,0.04928161,Low
28,0.049273286,Low
10,0.0491766,Low
23,0.0490774,Low
32,0.0489696,Low
27,0.048910122,Low
22,0.048896417,Low
23,0.04884453,Low
31,0.048488688,Low
20,0.048339546,Low
14,0.048335318,Low
29,0.047984987,Low
26,0.047952693,Low
10,0.047877744,Low
27,0.047731083,Low
14,0.04760283,Low
4,0.047497615,Low
24,0.04746861,Low
20,0.047444005,Low
48,0.047420006,Low
16,0.04690057,Low
26,0.04678238,Low
40,0.046747435,Low
2,0.046607275,Low
8,0.046530604,Low
45,0.046458844,Low
24,0.04633005,Low
33,0.04627341,Low
7,0.046240445,Low
12,0.04617367,Low
6,0.046118468,Low
46,0.046004135,Low
12,0.045793053,Low
15,0.04563242,Low
21,0.045601424,Low
21,0.045483682,Low
2,0.04534647,Low
41,0.04533099,Low
45,0.04514937,Low
17,0.044889815,Low
38,0.044877876,Low
12,0.044829093,Low
22,0.04478324,Low
11,0.044707227,Low
14,0.044462204,Low
31,0.044369493,Low
45,0.04433187,Low
40,0.04426173,Low
20,0.04421567,Low
13,0.04407448,Low
14,0.044003833,Low
37,0.043981314,Low
22,0.043857742,Low
10,0.043624226,Low
35,0.04325812,Low
36,0.043144193,Low
21,0.043031637,Low
40,0.04293413,Low
48,0.042849418,Low
33,0.042768117,Low
23,0.042736474,Low
4,0.042697985,Low
46,0.042666323,Low
42,0.042551156,Low
40,0.042506684,Low
29,0.04250457,Low
25,0.042235002,Low
15,0.042004507,Low
26,0.04192337,Low
28,0.04174133,Low
37,0.04161097,Low
3,0.04098781,Low
33,0.040633794,Low
42,0.04038855,Low
32,0.04034988,Low
19,0.04033228,Low
34,0.040306106,Low
21,0.040262517,Low
24,0.040215604,Low
29,0.040123466,Low
38,0.04006582,Low
43,0.0399211,Low
23,0.039887615,Low
26,0.039809044,Low
34,0.03973602,Low
26,0.039621472,Low
17,0.039431825,Low
15,0.039146993,Low
23,0.039126094,Low
19,0.039077926,Low
45,0.038768258,Low
22,0.03865752,Low
43,0.038495984,Low
44,0.03817437,Low
44,0.038057145,Low
17,0.037993,Low
24,0.037969593,Low
13,0.0378904,Low
9,0.037683647,Low
34,0.037481084,Low
44,0.037437726,Low
44,0.037418135,Low
23,0.037407745,Low
37,0.03726987,Low
30,0.037201956,Low
29,0.037089046,Low
1,0.03705913,Low
30,0.036917083,Low
8,0.03690533,Low
21,0.03688663,Low
42,0.03677329,Low
15,0.036626294,Low
11,0.03642811,Low
41,0.036367707,Low
47,0.03624643,Low
25,0.036233027,Low
31,0.035803102,Low
33,0.035711344,Low
37,0.035487533,Low
44,0.035451446,Low
25,0.03542051,Low
35,0.03541244,Low
1,0.03535433,Low
33,0.03526357,Low
4,0.035234746,Low
7,0.035059627,Low
6,0.03502256,Low
28,0.0348795,Low
44,0.0348432,Low
11,0.03483038,Low
26,0.034689393,Low
13,0.034533553,Low
5,0.034335583,Low
38,0.03407336,Low
34,0.03405566,Low
48,0.033779006,Low
44,0.033687197,Low
13,0.033630874,Low
37,0.0335585,Low
5,0.0334189,Low
5,0.03334825,Low
27,0.033292737,Low
33,0.032958355,Low
16,0.03272671,Low
13,0.032598812,Low
30,0.032401863,Low
43,0.032273035,Low
39,0.032198455,Low
16,0.03206089,Low
32,0.031984683,Low
6,0.031975325,Low
18,0.031952675,Low
16,0.03187484,Low
24,0.031774007,Low
25,0.031236177,Low
35,0.031183103,Low
32,0.031182332,Low
11,0.031130064,Low
39,0.030890636,Low
28,0.030641854,Low
12,0.030626317,Low
5,0.030617489,Low
28,0.030617025,Low
40,0.030408584,Low
1,0.030391168,Low
3,0.030314913,Low
20,0.030218178,Low
29,0.030144228,Low
2,0.03011432,Low
26,0.030113935,Low
28,0.029935902,Low
13,0.029933805,Low
12,0.02992493,Low
35,0.029899392,Low
26,0.02986364,Low
28,0.029701428,Low
29,0.029579517,Low
48,0.029572345,Low
24,0.029432487,Low
36,0.029371927,Low
23,0.029237852,Low
26,0.029215798,Low
13,0.029209193,Low
2,0.029091835,Low
32,0.029084973,Low
24,0.028720256,Low
1,0.02870309,Low
2,0.02858942,Low
42,0.028544853,Low
8,0.028488828,Low
11,0.028446067,Low
19,0.028416438,Low
49,0.028247073,Low
13,0.027951665,Low
44,0.027936472,Low
9,0.027855398,Low
15,0.027842512,Low
11,0.027718902,Low
24,0.02770224,Low
31,0.027509157,Low
12,0.027484434,Low
2,0.027480062,Low
46,0.02729212,Low
47,0.02719593,Low
22,0.02714962,Low
44,0.02697851,Low
13,0.026861915,Low
24,0.026648857,Low
5,0.02658853,Low
7,0.02632431,Low
12,0.026211955,Low
42,0.026209509,Low
15,0.026169717,Low
26,0.02592267,Low
37,0.025822971,Low
29,0.025789699,Low
23,0.025788056,Low
48,0.025627468,Low
20,0.025338665,Low
40,0.02532289,Low
25,0.02531047,Low
37,0.025131386,Low
35,0.025064362,Low
9,0.025021268,Low
32,0.024976552,Low
11,0.024965841,Low
21,0.024890695,Low
20,0.024857732,Low
35,0.024836808,Low
38,0.02482959,Low
17,0.02479111,Low
41,0.024636406,Low
24,0.024582159,Low
32,0.024475578,Low
26,0.024316963,Low
17,0.024299562,Low
33,0.02425002,Low
25,0.024120463,Low
8,0.024089977,Low
30,0.02401411,Low
30,0.023976794,Low
16,0.023883728,Low
12,0.023807144,Low
2,0.023802886,Low
47,0.02367305,Low
13,0.023609823,Low
38,0.023366695,Low
18,0.023291728,Low
43,0.023163743,Low
3,0.023135375,Low
32,0.022931283,Low
46,0.022803284,Low
47,0.022753239,Low
22,0.022677805,Low
49,0.022651758,Low
32,0.02258498,Low
13,0.022578938,Low
45,0.022550832,Low
32,0.022515135,Low
16,0.022487482,Low
20,0.022442136,Low
2,0.022429785,Low
29,0.022364765,Low
16,0.022339076,Low
38,0.022337524,Low
21,0.022289816,Low
6,0.022243798,Low
24,0.022152217,Low
12,0.022095596,Low
31,0.022064215,Low
2,0.022046642,Low
47,0.021847008,Low
28,0.02175157,Low
32,0.021661563,Low
2,0.02159985,Low
25,0.021460386,Low
37,0.021365777,Low
26,0.021360742,Low
26,0.021341883,Low
44,0.0212263,Low
24,0.021219209,Low
2,0.021116901,Low
41,0.020978015,Low
29,0.020977302,Low
29,0.020927528,Low
24,0.020878082,Low
20,0.020812044,Low
45,0.020718478,Low
5,0.020640764,Low
7,0.020563668,Low
28,0.02045098,Low
31,0.020406924,Low
37,0.02038742,Low
44,0.020316971,Low
22,0.020288466,Low
23,0.020268492,Low
24,0.02011108,Low
4,0.020085603,Low
3,0.020020587,Low
38,0.019936731,Low
25,0.019870495,Low
46,0.019808318,Low
29,0.019628366,Low
8,0.019260803,Low
27,0.019242639,Low
6,0.019198881,Low
7,0.019196875,Low
4,0.01912473,Low
3,0.019068908,Low
6,0.018937433,Low
44,0.018827261,Low
9,0.018739786,Low
24,0.018738918,Low
19,0.018593827,Low
45,0.018570228,Low
14,0.018551374,Low
14,0.018549789,Low
2,0.018544469,Low
45,0.018512921,Low
31,0.01838044,Low
10,0.018374432,Low
37,0.018330371,Low
11,0.018273074,Low
49,0.018243698,Low
47,0.018161701,Low
36,0.01813792,Low
36,0.018086836,Low
44,0.017916624,Low
49,0.017885145,Low
46,0.01787405,Low
29,0.017812671,Low
21,0.017792394,Low
2,0.017775336,Low
3,0.01777527,Low
23,0.017772214,Low
11,0.017556146,Low
43,0.01747784,Low
23,0.017413668,Low
26,0.017255161,Low
40,0.017212955,Low
35,0.01719628,Low
20,0.017170947,Low
11,0.017152978,Low
46,0.016913136,Low
12,0.016845388,Low
18,0.016829751,Low
5,0.016747758,Low
8,0.016397247,Low
43,0.016391804,Low
26,0.01630153,Low
42,0.016290179,Low
34,0.016063705,Low
9,0.016059348,Low
29,0.016037436,Low
25,0.016010176,Low
25,0.016006216,Low
26,0.01600344,Low
28,0.015929345,Low
36,0.015865384,Low
48,0.015834115,Low
30,0.015825208,Low
3,0.015746463,Low
15,0.01570609,Low
1,0.015693238,Low
30,0.015624944,Low
33,0.015556817,Low
45,0.0155548155,Low
21,0.015541278,Low
10,0.01548979,Low
24,0.015441657,Low
41,0.015395462,Low
25,0.015375603,Low
17,0.015308741,Low
19,0.015227756,Low
49,0.015209455,Low
47,0.015188322,Low
5,0.015159725,Low
33,0.015045123,Low
20,0.014972142,Low
20,0.014833007,Low
38,0.014781574,Low
26,0.014770655,Low
30,0.014672566,Low
8,0.014588287,Low
15,0.0145484945,Low
27,0.014444437,Low
2,0.014355188,Low
23,0.014348071,Low
24,0.014275632,Low
28,0.014196991,Low
5,0.014153372,Low
